QuestionPairID,question1,question2
0,ما مناخ مانتيتوبا السائد؟,ما هو المناخ السائد في مانيتوبا؟
1,ما هي عاصمة سنغافورا؟,متى أُحتلت سنغافورة من القوات اليابانية؟
2,ما طريقة تحضير التمر بالطحينية ؟,من طرق تحضير كيكة التمر؟
3,كيف احضر  الشكشوكة  على الطّريقة التونسيّة ؟,من طرق تحضير  الشكشوكة   ؟
4,هل للحاسوب أهمية؟,من اخترع الحاسوب؟
5,ما وسائل تعزيز العمل التطزعي ؟,ماذا نقصد بالعمل التطوعي ؟
6,ما هي العوامل التي تؤثر في انتماء الشخص للوطن؟,كيف ينمو شعور عندم الانتماء للوطن؟
7,بم يتميز تطبيق الفايبر؟,كيف أعمل تسجيل خروج من الفايبر؟
8,ما معنى لفظة استخارة؟,ما مفهوم الاستخارة اصطلاحاً؟
9,أين تقع قبرص في قارة أوروبا؟,ما هو موقع قبرص في قارة أوروبا؟
10,هل يوجد طريقة بسيطة لمسح سجل البحث في جوجل؟,ما أهمية موقع جوجل؟
11,ما طريقة تحضير حلوى اللؤلؤ؟,من طرق تحضير  حلوى اللؤلؤ؟
12,من طرق تحضير  حلى الأناناس البارد؟,من طرق تحضير جلو الأناناس  ؟
13,من طرق تحضير  كيش الخُضار؟,من طرق تحضير الخضار؟
14,ما هي حقوق المرأة في العصر الجاهلي؟,كيف كانت المرأة في العصر الجاهلي؟
15,ما هي أبيات قصيدة مطار أثينا؟,أين صدرت  قصيدة مطار أثينا؟
16,كم يبلغ طول برج ون وورلد تريد سنتر؟,أين يوجد ون وورلد تريد سنتر؟
17,ماذا نقصد بالباستا فلورا؟,ما تعريف الباستا فلورا؟
18,ما هي خطوة تطبيق دراسة الجدوى؟,ما هي خطوات دراسة الجدوى؟
19,ما هي البلاد التي تحد سلطنة عمان؟,ما هو المناخ العام في سلطنة عمان؟
20,ما هي الأسباب التي تجعل تويتر وفيسبوك من المنصات القوية للتسويق؟,ما أهمية تويتر والفيسبوك؟
21,ما هي حدود قارة أفريقيا الغربية؟,ما حدود قارة أفريقيا في جنوب شرقها؟
22,ما هي الكوليرا؟,ما هي الكولا؟
23,ماذا نعني بصناديق الاستثمار ؟,ما هي سلبيات صناديق الاستثمار ؟
24,من وظائف الادارة الرئيسية ؟,ماذا نقصد بادارة الاعمال ؟
25,ماذا نقصد بالقروض متوسط الأجل؟,من انواع القروض ؟
26,كيف احضر  الحلقوم بماء الورد؟,من طرق تحضير  الحلقوم ؟
27,ما اسم العاصمة البحرينية؟,ما عدد سكان البحرين؟
28,أين توجد مدينة جرينيتش؟,ما هي المدينة التي لقبت بصفر الزمان؟
29,ماهي طرق غرس مفهوم الانتماء وحب الوطن في الأجيال؟,كيقف تُغرس شجرة الزيتون؟
30,ما ايجابيات الخلايا الشمسية؟,ما هي انواع الخلايا الشمسية؟
31,ما هي مراحل انشاء مشروع تربية دواجن؟,ما تعريف الدواجن ؟
32,من عيوب الرأسمالية؟,من سلبيات بالرأسماليّة ؟
33,كيف يتم تشخيص تكيس المبايض؟,كيف يتم تشخيص تليف المبيض؟
34,ما هو ملخص المحاسبة ؟,ما هي المحاسبة ؟
35,ما هي اقسام القروض حسب المدة الزمنية ؟,من اقسام القروض حسب المدة الزمنية ؟
36,ما هو مفهوم دراسة الجدوى؟,ما معنى دراسة الجدوى؟
37,في أي عام قررت الولايات الأمريكية مواجهة القوات البريطانية؟,في أي سنة قررت أمريكا مواجهة القوات البريطانية؟
38,ما اسباب نقص فيتامين ب12؟,ما اسباب نقص فيتامين ب2؟
39,ما هي نتائج الثورة الصناعية على الاقتصاد ؟,من نتائج الثورة الصناعية  على الاقتصاد؟
40,ما المقصود بالسرد المتقطع؟,ما الغرض من فن السرد؟
41,ما هو القمر الصناعي ؟,ما هو تعريف القمر الصناعي ؟
42,كيف احضر  كيكة الشوكولاتة والموز؟,من طرق تحضير  كيكة الشوكولاتة والموز؟
43,ما طريقة تحضير  ورق العنب ؟,"من طرق تحضير  ورق العنب بالدجاج؟"""
44,ما هي مرحلة تطبيق دراسة الجدوى؟,ما هي خطوات دراسة الجدوى؟
45,ما هي وسائل تحقيق الغنى؟,ما هي طرق تحقيق الغنى ؟
46,كيف تكون مساحة الذاكرة في التابلت؟,ما هو جهاز التابلت؟
47,كيف يؤدي حصى الكلى إلى فشل كلوي؟,ماذا تسبب البروتينات الصناعية للجسم؟
48,كم يصل عدد السكان في النرويج؟,كم يبلغ عدد سكان الجبل الأسود؟
49,ما طريقة تحضير كيكة الكوكيز بالنوتيلا ؟,من طرق تحضير كيكة الكوكيز  ؟
50,ما هي خلاصة المحاسبة؟,ما هو ملخص المحاسبة ؟
51,ما هي عاصمة نيجيريا؟,ما مساحة عاصمة نيجيريا؟
52,ماذا نقصد بمدير المبيعات ؟,ماذا نقصد بادارة المبيعات ؟
53,من المهارات المتعلقة بالضيافة الجوية ؟,من هم مضيفات الطيران ؟
54,كم عدد السكان في تيانجين؟,كم عدد السكان في غوانغدونغ؟
55,لماذا سميت غزوة بني سليم بالسويق؟,لما ذا سميت غزوة بدر بالكبرى؟
56,ما هي اسباب الكوليرا؟,لماذا نصاب بالكوليرا؟
57,كيف أغير التاريخ والوقت في نظام ويندوز7؟,ما هو ويندوز 7؟
58,كيف احضر حشوة التمر؟,من طرق تحضير كيكة التمر؟
59,ما هي الشنينة؟,ما هو اللبن؟
60,اين تقع مدينة سحاب الصناعية ؟,من خصائص مدينة سحاب الصناعية ؟
61,ما نظام الحكم في المملكة الاردنية الهاشمية؟,ما هي أكبر محافظات الأردن من حيث المساحة؟
62,كم تشكل نسبة المسلمون في الجمهرية الجزائرية؟,متى انتشر الإسلام في الجزائر؟
63,ما هي القيم الدينية؟,من خصائص القيم ؟
64,ما هو تسلل السلام في التاريخ ؟,ما هو السلام ؟
65,ما هي عناصر النظام المحاسبي ؟,ماذا نقصد بالنظام المحاسبي ؟
66,متى أصبحت مدغشقر تتبع الحكم العسكري؟,ما هو نظام الحكم المدغشقري؟
67,ما عاصمة قارة أستراليا؟,أين تقع أستراليا؟
68,ما هي سياحة المؤتمرات؟,ما هي السياحة الاجتماعية؟
