QuestionPairID	question1	question2
1	كم عدد حروف الفاتحة؟	كيف تكون فقيهاً؟
2	هل حلال أكل الضبع؟	هل أكل الضبع حلال أم حرام؟
3	كم عدد الركعات في كل صلاة؟	كم عدد ركعات الصلوات المفروضة؟
4	كيف أؤمن بالله؟	كيف أكون مؤمناً؟
5	لماذا سميت حواء بهذا الاسم؟	كيف عذب الله قوم ثمود؟
6	كم عدد حجات الرسول؟	كم تبلغ نسبة زكاة المال؟
7	كيف اعرف قلبي سليم؟	من هم السلفيون؟
8	كيف تعرف شخصية من امامك؟	كيف أتعرف على شخصيات الآخرين؟
9	كيف تكون إنساناً صالحاً؟	كيف تكون صالحاً؟
10	كيف تعرف أنك مصاب بالسكري؟	كيف تعرف عندك سكر؟
11	كيف كان يقضي الرسول يومه؟	أين قبر عائشة؟
12	ماذا يأكل طفل الستة أشهر؟	كم عدد الوجبات للطفل في الشهر السادس؟
13	كيف تعرف ضعف النظر؟	كيف اعرف ضعف النظر؟
14	ماذا يأكل مريض القولون؟	كيف تتخلص من الكرش للرجال؟
15	كيف أنزل حرارة طفلي بسرعة؟	كيف أخفض درجة حرارة طفلي؟
16	كيف أطور نفسي؟	كيف أغير نفسي للأفضل؟
17	كيف أنظم غذائي؟	كيف أتخلص من حليب الثدي بعد الفطام؟
18	لماذا ندرس الحديث؟	كيف أنوي الصيام؟
19	كيف تتعلم الرسم؟	أين تذهب في شرم الشيخ؟
20	كيف تزيد الحامل وزنها؟	كيف أزيد وزني وأنا حامل؟
21	كيف تكون ممن يحبهم الله؟	أين نزلت سورة القلم؟
22	كيف أعمل القهوة العربية؟	كيف أحضر القهوة العربية؟
23	أين نشأ الرسول؟	هل يجوز صيام أيام التشريق؟
24	من هو سلمان الفارسي؟	لماذا لا اخشع في صلاتي؟
25	كيف احفظ لساني من الغيبة والنميمة؟	كيف تتخلص من الغيبة والنميمة؟
26	كم يبلغ نصاب زكاة الذهب؟	كيف نحسب زكاة الذهب؟
