هناك ، أمام بيانات السائح تماما .	MSA
لم اسمع بهذا العنوان من قبل بالقرب من هنا .	MSA
استمر في السير في هذا الطريق حتى تجد صيدلية .	MSA
كم تكلفة الإفطار ؟	MSA
كيف أستطيع مساعدتك ؟	MSA
اتجه يسارا عند الناصية الثالثة .	MSA
هل تحب أن تضع قشدة وسكر في قهوتك ؟	MSA
هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟	MSA
إذا حدث ذلك ، من فضلك أتصل بي .	MSA
أين المقهى ؟	MSA
أريد جاكيت للأطفال .	MSA
حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .	MSA
هل لديك أحذية حريمي عند أصابع القدم ؟	MSA
هل ستواجهني أية صعوبات في الجمارك ؟	MSA
لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .	MSA
أريد تمويج متقارب لشعري ، من فضلك .	MSA
هي تريد بيرة .	MSA
صباح الخير . كيف حالك .	MSA
أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .	MSA
أي نوع من الملابس ؟	MSA
هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟	MSA
أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟	MSA
من هو أفضل صديق لك ؟	MSA
يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .	MSA
هل تريد أن افحص موتور السيارة ؟	MSA
هل لك أن تساعدني في الوصول إلى حقيبتي ؟	MSA
هل ستقوم بعمل الترتيبات مقدماً ؟	MSA
تقدم إلىّ المساعدة ، شكراً لك .	MSA
عندما تصل هناك أسأل شخص آخر ، من فضلك .	MSA
أريد الامتداد أربع وعشرون ، من فضلك .	MSA
تفضل هذان دولاران . احتفظ بالباقي .	MSA
واحد هامبرجر وواحد شيز برجر ، من فضلك .	MSA
كم تتقاضى لتطبيع صور الفيلم ؟	MSA
كلا منا يريد أن يحاسب على وجبته .	MSA
المكان كان على كرسي في البهو .	MSA
أريد قاموس جيب ، من فضلك .	MSA
لشخصين عند الساعة السابعة , الاسم وتاناب .	MSA
ساعتي . كانت ساعة سيكو رقمية .	MSA
يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .	MSA
أين محل الهدايا ؟	MSA
أريد منبه ، من فضلك .	MSA
معظم اليابانيين يأكلون الأخطبوط والحبار .	MSA
هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟	MSA
لقد ذهبت إلى نيويورك .	MSA
ما هو رقم الرحلة الجوية ؟	MSA
لعدة أيام قليلة .	MSA
الثاني من على اليسار .	MSA
هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟	MSA
هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟	MSA
أنه ذو مذاق غريب .	MSA
نعم . انتظر , سوف احضر لك واحدة .	MSA
نصف زجاجة , من فضلك .	MSA
ليس تماماً . فقط شيء ما غير غالي الثمن .	MSA
هل تبحث عن شيء ما ؟	MSA
أربع ليالي .	MSA
أريد بعض الجوارب الرجالي .	MSA
هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟	MSA
ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .	MSA
أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .	MSA
حسناً ، أود أن أجرب النبيذ الأبيض .	MSA
إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .	MSA
أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .	MSA
هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟	MSA
أرغب في غرفة بحمام .	MSA
شخص ما فتح الطرد الخاص بي .	MSA
شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .	MSA
أرغب في شراء شامبو .	MSA
هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .	MSA
ـ أين أقرب محل جزارة ؟	MSA
نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .	MSA
ما اسم هذه الوردة ؟	MSA
الخامس عشر من سبتمبر يوم احترام المسنين .	MSA
ليس هناك صابون في حجرتي .	MSA
هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟	MSA
لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .	MSA
كم تستغرق حتى تصبح متاحة .	MSA
أين الاستعلامات الرياضية ؟	MSA
هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .	MSA
من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟	MSA
أود أن أضع ذلك في صندوق ودائع آمن .	MSA
أين يمكنني تغير نقودي ؟	MSA
هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟	MSA
أتساءل عن هذه الرسوم الزائدة على فاتورتي .	MSA
أنا سوف أدفع خمسون دولاراً .	MSA
الآن أعرف . ماذا كان الخطأ . ؟	MSA
كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟	MSA
فقط سياحة .	MSA
هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟	MSA
أود الحصول على واحدة كبيرة .	MSA
أنا مصور حر .	MSA
يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟	MSA
سوف أحضر لك العرض الأسبوع القادم .	MSA
شكراُ لك . كم تكلفة هذا القفاز ؟	MSA
علىّ أن أذهب ، سأتصل بك لاحقاً .	MSA
أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .	MSA
أين نشأت سمكات الفراش هذه ؟	MSA
هل لك أن تغيرهم إلى دولارات من فضلك ؟	MSA
نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .	MSA
هل هناك سيارة ليموزين ؟	MSA
أُفضلُ حجرة هادئة .	MSA
أريد مزيلا لطلاء الأظافر .	MSA
أريد بطارية .	MSA
هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟	MSA
هل هذه الحقيبة مناسبة لكل حالات الطقس ؟	MSA
أريد كعكة محلاة من فضلك .	MSA
أريد تأجير سلاح آلى لمدة يومين .	MSA
لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .	MSA
كم سأدفع للوصول إلى المطار ؟	MSA
هذا جيد . متى هو ؟	MSA
كم عمر ابنتك ؟	MSA
هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟	MSA
يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .	MSA
ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .	MSA
هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟	MSA
تذكرتين درجة ثانية من فضلك .	MSA
أود أن أرسل فاكس .	MSA
أريد مكواة سفر .	MSA
أيمكنني أن أقدم لك أي شيء ؟	MSA
أخشى أن أسأل ، لكن ماذا تعني ؟	MSA
أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .	MSA
أنا شديد الحساسية للقطط .	MSA
نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .	MSA
استمر يا سيدي .	MSA
أود أن أحجز غرفة لهذه الليلة .	MSA
لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .	MSA
هل تريد أن تذهب للتسوق معي بعد الظهر ؟	MSA
الآن ، مكالمتك ردت . تفضل من فضلك .	MSA
ما رقم البوابة ؟	MSA
ما التذكار الخاص بهاواي ؟	MSA
أيمكنني أن أذهب هناك بمترو الأنفاق ؟	MSA
أريد مجفف .	MSA
هل نذهب إلى أي مكان متحدثين مثل ذلك ؟	MSA
أنا من النرويج .	MSA
بالتأكيد . دعني أراها . أظن أن المرجان جرحك .	MSA
لقط للتأكيد ، إعطني رقم المسئول .	MSA
هل هناك طريق حر ؟	MSA
لماذا لم يأت إلى الحفلة أمس ؟	MSA
لقد كان هناك حادث مرور .	MSA
آسف , لقد اتصلت بالرقم الخطأ .	MSA
واحد هامبورجر بالجبن و عصير برتقال , من فضلك .	MSA
هل أستطيع أن الحصول علي تذكرتان للمسرحية الغنائية الجمعة القادمة .	MSA
راكب آخر هناك قال انهم يستطيعون أن يبدلوا مقاعدهم معك .	MSA
هل أستطيع تمديد إقامتي ؟	MSA
يا صاح , أتعرف أي مكان يستحق الرؤية قريبا من هنا ؟	MSA
هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة ؟	MSA
ما اسم هذه المحمية ؟	MSA
أصبت بسحجة .	MSA
هل من الممكن أن احصل علي بعض الفاكهة ؟	MSA
هل أستطيع تناول غذائي الآن ؟	MSA
أريد أن أستبدل تلك الدولارات .	MSA
أحتاج إلى تاكسي . أنا في ساوث ماين ، وليبرتي .	MSA
هذه ليست تفاحة ولكنها خوخة .	MSA
سوف أعطيك روشتة . خذها إلى الصيدلية .	MSA
نسافر جواً ثلاث مرات في الأسبوع ، أيام الثلاثاء والجمعة والسبت .	MSA
نعم لدينا هذا ، سوف نجهزها لك .	MSA
ل , ا أريد فقط الزيارة بدون ميعاد .	MSA
هل أنت أمريكي ؟	MSA
لقد تعطلت سيارتي .	MSA
أين مظلل العيون ؟	MSA
نريد ركناً هادئاً ، إن أمكن .	MSA
هل هذه السيارة الأجرة متاحة ؟	MSA
هل هذه محطة قطار سريع ؟	MSA
متى ينبغي أن آتي ؟	MSA
أريد دورقاً صغيراً من الخمر الأبيض .	MSA
آه . هل يمكنني الحصول على وجبتي فيما بعد ؟ أنا أشعر أنني لست على ما يرام الآن .	MSA
بالفعل لدي أخبار . أنا سأتزوج .	MSA
بنطلون أخر ؟	MSA
هل يمكنني الحصول على برنامج ؟	MSA
اقتحمت غرفتي الليلة الماضية .	MSA
أرني السمكة التي رأيتها اليوم في كتاب الصور ، من فضلك .	MSA
انظر التعليمات على علبة الطعام الفارغة .	MSA
أريد نقوداً ورقية .	MSA
أليس لديك دروس تجريبية ؟	MSA
أين يمكنني أن أشتري طوابع بريد ؟	MSA
أنا من بريطانيا العظمى .	MSA
علي أن أفحص ذلك مع زوجتي .	MSA
أريد أن أحصل على تعويض لذلك .	MSA
يوجد صندوق للهاتف أمام هذا المصرف .	MSA
سأصل في التاسع من مارس وأغادر في الرابع عشر .	MSA
هذا غال قليلاً ، ألا تعتقد ؟	MSA
هل لديك كعب ؟	MSA
أين المحطة النهائية للحافلة ؟	MSA
هل تريد بالحلويات ؟	MSA
هل تتحدث ؟	MSA
الشيء نفسه لي ، من فضلك .	MSA
طلبي لم يأت .	MSA
هناك الكثير من الينابيع الحارة .	MSA
